image_id,click_id,x,y,coordinate_width,coordinate_height,image_x,image_y,is_positive,image_width,image_height
image_001,image_001_click_01,810,1043,1638,2048,1564.586385836386,2014.14794921875,1,3163,3954
image_001,image_001_click_02,825,1015,1638,2048,1593.5515873015872,1960.08935546875,1,3163,3954
image_001,image_001_click_03,874,1057,1638,2048,1688.1712454212454,2041.17724609375,1,3163,3954
image_001,image_001_click_04,813,984,1638,2048,1570.379426129426,1900.23876953125,1,3163,3954
image_001,image_001_click_05,846,1029,1638,2048,1634.1028693528694,1987.11865234375,1,3163,3954
image_001,image_001_click_06,800,1066,1638,2048,1545.2762515262516,2058.55322265625,1,3163,3954
image_001,image_001_click_07,869,1005,1638,2048,1678.5161782661783,1940.78271484375,1,3163,3954
image_001,image_001_click_08,849,923,1638,2048,1639.8959096459096,1782.46826171875,1,3163,3954
image_001,image_001_click_09,827,999,1638,2048,1597.413614163614,1929.19873046875,1,3163,3954
image_001,image_001_click_10,838,1029,1638,2048,1618.654761904762,1987.11865234375,1,3163,3954
image_001,image_001_click_11,842,1034,1638,2048,1626.3788156288156,1996.77197265625,1,3163,3954
image_001,image_001_click_12,888,1087,1638,2048,1715.2054334554334,2099.09716796875,1,3163,3954
image_001,image_001_click_13,946,1071,1638,2048,1827.2042124542124,2068.20654296875,1,3163,3954
image_001,image_001_click_14,891,1046,1638,2048,1720.9984737484738,2019.93994140625,1,3163,3954
image_001,image_001_click_15,838,1073,1638,2048,1618.654761904762,2072.06787109375,1,3163,3954
image_002,image_002_click_01,669,1133,1367,2048,2405.1942209217264,4073.015625,1,4912,7360
image_002,image_002_click_02,671,1223,1367,2048,2412.380760790051,4396.453125,1,4912,7360
image_002,image_002_click_03,689,1213,1367,2048,2477.0596196049746,4360.515625,1,4912,7360
image_002,image_002_click_04,709,1223,1367,2048,2548.9250182882224,4396.453125,1,4912,7360
image_002,image_002_click_05,668,1199,1367,2048,2401.600950987564,4310.203125,1,4912,7360
image_002,image_002_click_06,674,1171,1367,2048,2423.1605705925385,4209.578125,1,4912,7360
image_002,image_002_click_07,685,1183,1367,2048,2462.686539868325,4252.703125,1,4912,7360
image_002,image_002_click_08,669,1158,1367,2048,2405.1942209217264,4162.859375,1,4912,7360
image_002,image_002_click_09,659,1122,1367,2048,2369.2615215801025,4033.484375,1,4912,7360
image_002,image_002_click_10,663,1214,1367,2048,2383.634601316752,4364.109375,1,4912,7360
image_002,image_002_click_11,607,1105,1367,2048,2182.4114850036576,3972.390625,1,4912,7360
image_002,image_002_click_12,590,1146,1367,2048,2121.3258961228967,4119.734375,1,4912,7360
image_002,image_002_click_13,689,1213,1367,2048,2477.0596196049746,4360.515625,1,4912,7360
image_002,image_002_click_14,727,1196,1367,2048,2613.6038771031454,4299.421875,1,4912,7360
image_002,image_002_click_15,668,1190,1367,2048,2401.600950987564,4277.859375,1,4912,7360
image_003,image_003_click_01,858,864,1365,2048,2232.8578754578753,2248.128662109375,1,3551,5327
image_003,image_003_click_02,649,830,1365,2048,1689.1516483516484,2159.692138671875,1,3551,5327
image_003,image_003_click_03,731,661,1365,2048,1902.4717948717948,1720.110595703125,1,3551,5327
image_003,image_003_click_04,707,753,1365,2048,1840.03663003663,1959.409423828125,1,3551,5327
image_003,image_003_click_05,700,747,1365,2048,1821.8263736263737,1943.802978515625,1,3551,5327
image_003,image_003_click_06,753,723,1365,2048,1959.7040293040293,1881.377197265625,1,3551,5327
image_003,image_003_click_07,907,819,1365,2048,2360.3296703296705,2131.080322265625,1,3551,5327
image_003,image_003_click_08,764,616,1365,2048,1988.3201465201464,1603.062255859375,1,3551,5327
image_003,image_003_click_09,585,934,1365,2048,1522.6578754578754,2430.203857421875,1,3551,5327
image_003,image_003_click_10,713,629,1365,2048,1855.6454212454212,1636.876220703125,1,3551,5327
image_003,image_003_click_11,569,942,1365,2048,1481.0344322344322,2451.012451171875,1,3551,5327
image_003,image_003_click_12,853,869,1365,2048,2219.8505494505494,2261.134033203125,1,3551,5327
image_003,image_003_click_13,734,752,1365,2048,1910.2761904761905,1956.808349609375,1,3551,5327
image_003,image_003_click_14,730,778,1365,2048,1899.8703296703297,2024.436279296875,1,3551,5327
image_003,image_003_click_15,896,840,1365,2048,2331.713553113553,2185.702880859375,1,3551,5327
image_004,image_004_click_01,283,903,1365,2048,621.9538461538461,1982.523681640625,1,2997,4495
image_004,image_004_click_02,340,929,1365,2048,747.1032967032967,2039.589111328125,1,2997,4495
image_004,image_004_click_03,349,885,1365,2048,766.8637362637363,1943.016845703125,1,2997,4495
image_004,image_004_click_04,325,923,1365,2048,714.1692307692308,2026.420166015625,1,2997,4495
image_004,image_004_click_05,315,906,1365,2048,692.2131868131868,1989.108154296875,1,2997,4495
image_004,image_004_click_06,352,912,1365,2048,773.4505494505495,2002.277099609375,1,2997,4495
image_004,image_004_click_07,261,878,1365,2048,573.6505494505494,1927.653076171875,1,2997,4495
image_004,image_004_click_08,330,898,1365,2048,725.1472527472528,1971.549560546875,1,2997,4495
image_004,image_004_click_09,350,903,1365,2048,769.0593406593407,1982.523681640625,1,2997,4495
image_004,image_004_click_10,289,900,1365,2048,635.1274725274725,1975.939208984375,1,2997,4495
image_004,image_004_click_11,309,896,1365,2048,679.0395604395604,1967.159912109375,1,2997,4495
image_004,image_004_click_12,282,865,1365,2048,619.7582417582418,1899.120361328125,1,2997,4495
image_004,image_004_click_13,280,885,1365,2048,615.367032967033,1943.016845703125,1,2997,4495
image_004,image_004_click_14,339,880,1365,2048,744.9076923076923,1932.042724609375,1,2997,4495
image_004,image_004_click_15,343,870,1365,2048,753.6901098901099,1910.094482421875,1,2997,4495
image_005,image_005_click_01,975,1139,2048,1498,2125.308837890625,2482.3624833110816,1,4463,3264
image_005,image_005_click_02,979,1089,2048,1498,2134.025634765625,2373.417222963952,1,4463,3264
image_005,image_005_click_03,987,1129,2048,1498,2151.459228515625,2460.5734312416557,1,4463,3264
image_005,image_005_click_04,1191,1317,2048,1498,2596.015869140625,2870.2076101468624,1,4463,3264
image_005,image_005_click_05,978,1120,2048,1498,2131.846435546875,2440.9632843791724,1,4463,3264
image_005,image_005_click_06,980,1181,2048,1498,2136.204833984375,2573.8765020026703,1,4463,3264
image_005,image_005_click_07,1010,1293,2048,1498,2201.580810546875,2817.9138851802404,1,4463,3264
image_005,image_005_click_08,1024,1195,2048,1498,2232.089599609375,2604.3811748998664,1,4463,3264
image_005,image_005_click_09,982,1157,2048,1498,2140.563232421875,2521.582777036048,1,4463,3264
image_005,image_005_click_10,1077,1223,2048,1498,2347.587158203125,2665.390520694259,1,4463,3264
image_005,image_005_click_11,938,1122,2048,1498,2044.678466796875,2445.3210947930575,1,4463,3264
image_005,image_005_click_12,980,1109,2048,1498,2136.204833984375,2416.995327102804,1,4463,3264
image_005,image_005_click_13,1044,1171,2048,1498,2275.673583984375,2552.0874499332444,1,4463,3264
image_005,image_005_click_14,990,1255,2048,1498,2157.996826171875,2735.115487316422,1,4463,3264
image_005,image_005_click_15,1051,1160,2048,1498,2290.927978515625,2528.119492656876,1,4463,3264
image_006,image_006_click_01,1111,1488,1365,2048,3065.285714285714,4103.777099609375,1,3765,5647
image_006,image_006_click_02,1156,1821,1365,2048,3189.4065934065934,5021.966064453125,1,3765,5647
image_006,image_006_click_03,970,1642,1365,2048,2676.3736263736264,4528.405029296875,1,3765,5647
image_006,image_006_click_04,980,1613,1365,2048,2703.956043956044,4448.442626953125,1,3765,5647
image_006,image_006_click_05,1155,1444,1365,2048,3186.6483516483518,3982.454833984375,1,3765,5647
image_006,image_006_click_06,1113,1782,1365,2048,3070.802197802198,4914.430419921875,1,3765,5647
image_006,image_006_click_07,1027,1633,1365,2048,2833.5934065934066,4503.589111328125,1,3765,5647
image_006,image_006_click_08,1013,1765,1365,2048,2794.978021978022,4867.555908203125,1,3765,5647
image_006,image_006_click_09,1088,1809,1365,2048,3001.846153846154,4988.878173828125,1,3765,5647
image_006,image_006_click_10,1193,1769,1365,2048,3291.4615384615386,4878.585205078125,1,3765,5647
image_006,image_006_click_11,972,1609,1365,2048,2681.8901098901097,4437.413330078125,1,3765,5647
image_006,image_006_click_12,1122,1829,1365,2048,3095.6263736263736,5044.024658203125,1,3765,5647
